1	0	5	2
2	0	3	2
3	0	4	2
4	0	3	2
5	0	4	2
6	0	5	2
7	0	5	2
8	0	5	2
9	0	5	2
2	1	2	2
3	1	2	2
6	1	5	2
8	1	5	2
11	6	5	2
12	6	5	2
13	6	5	2
14	6	4	2
6	6	5	2
15	6	5	2
16	6	5	2
17	6	5	2
18	4	1	2
19	4	2	2
20	4	4	2
6	4	5	2
21	4	5	2
22	4	4	2
23	5	5	2
24	5	5	2
25	5	5	2
26	5	5	2
27	5	5	2
28	5	5	2
29	5	5	2
0	5	5	2
30	5	4	2
31	5	5	2
32	5	5	2
33	5	4	2
34	5	5	2
35	5	5	2
36	5	4	2
37	5	5	2
38	5	4	2
6	5	5	2
39	5	5	2
40	5	5	2
41	5	5	2
42	5	5	2
43	5	5	2
44	5	5	2
45	5	5	2
46	5	4	2
47	3	3	2
7	3	5	2
48	3	5	2
49	2	4	2
30	2	3	2
50	2	4	2
